"geneId","geneIdNCBI","simplifiedId","simplifiedResistance","geneLength"
50,"WP_111672899.1",60,"class C beta-lactamase PDC-300",397
51,"WP_111672898.1",60,"class C beta-lactamase PDC-300",397
52,"WP_111672897.1",60,"class C beta-lactamase PDC-300",397
53,"WP_111672896.1",60,"class C beta-lactamase PDC-300",397
54,"WP_111672895.1",60,"class C beta-lactamase PDC-300",397
55,"WP_111672894.1",60,"class C beta-lactamase PDC-300",397
56,"WP_111672893.1",60,"class C beta-lactamase PDC-300",397
57,"WP_111672892.1",60,"class C beta-lactamase PDC-300",397
58,"WP_111672891.1",60,"class C beta-lactamase PDC-300",397
59,"WP_111672890.1",60,"class C beta-lactamase PDC-300",397
60,"WP_111672889.1",60,"class C beta-lactamase PDC-300",397
61,"WP_111672888.1",60,"class C beta-lactamase PDC-300",397
62,"WP_111672887.1",60,"class C beta-lactamase PDC-300",397
63,"WP_111672886.1",60,"class C beta-lactamase PDC-300",397
64,"WP_111672885.1",60,"class C beta-lactamase PDC-300",397
65,"WP_111672884.1",60,"class C beta-lactamase PDC-300",397
66,"WP_111672883.1",60,"class C beta-lactamase PDC-300",397
67,"WP_111273852.1",251,"carbapenem-hydrolyzing class A beta-lactamase KPC-33",293
68,"WP_111273851.1",43,"class C beta-lactamase CMY-163",381
69,"WP_111273850.1",1411,"class A beta-lactamase GES-30",287
70,"WP_111273849.1",1411,"class A beta-lactamase GES-30",287
71,"WP_111273848.1",1411,"class A beta-lactamase GES-30",287
72,"WP_111273847.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",540
73,"WP_111273846.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",540
74,"WP_111273845.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",540
75,"WP_111273844.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",540
76,"WP_111273843.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",540
77,"WP_111273842.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",540
78,"WP_110092882.1",246,"class A extended-spectrum beta-lactamase CTX-M-191",291
79,"WP_109997726.1",819,"quinolone resistance pentapeptide repeat protein QnrA4",218
80,"WP_109791216.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
81,"WP_109791215.1",43,"class C beta-lactamase CMY-163",381
82,"WP_109791214.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
83,"WP_109791213.1",434,"subclass B1 metallo-beta-lactamase NDM-18",270
84,"WP_109791212.1",280,"class A beta-lactamase SHV-200",286
85,"WP_109791211.1",1512,"class A extended-spectrum beta-lactamase CTX-M-152",291
86,"WP_109791210.1",914,"class A beta-lactamase TEM-219",286
87,"WP_109791209.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
88,"WP_109791208.1",1388,"subclass B1 metallo-beta-lactamase IMP-32",246
89,"WP_109791207.1",3760,"subclass B1 metallo-beta-lactamase IMP-21",246
90,"WP_109791206.1",60,"class C beta-lactamase PDC-300",397
91,"WP_109791205.1",60,"class C beta-lactamase PDC-300",397
92,"WP_109791204.1",60,"class C beta-lactamase PDC-300",397
93,"WP_109791203.1",60,"class C beta-lactamase PDC-300",397
94,"WP_109791202.1",60,"class C beta-lactamase PDC-300",397
95,"WP_109791201.1",60,"class C beta-lactamase PDC-300",397
96,"WP_109791200.1",60,"class C beta-lactamase PDC-300",397
97,"WP_109791199.1",60,"class C beta-lactamase PDC-300",390
98,"WP_109791198.1",60,"class C beta-lactamase PDC-300",397
99,"WP_109791197.1",60,"class C beta-lactamase PDC-300",397
100,"WP_109791196.1",60,"class C beta-lactamase PDC-300",397
101,"WP_109791195.1",60,"class C beta-lactamase PDC-300",397
102,"WP_109791194.1",60,"class C beta-lactamase PDC-300",397
103,"WP_109791193.1",60,"class C beta-lactamase PDC-300",397
104,"WP_109791192.1",60,"class C beta-lactamase PDC-300",397
105,"WP_109791191.1",60,"class C beta-lactamase PDC-300",397
106,"WP_109791190.1",60,"class C beta-lactamase PDC-300",397
107,"WP_109791189.1",60,"class C beta-lactamase PDC-300",397
108,"WP_109791188.1",60,"class C beta-lactamase PDC-300",397
109,"WP_109791187.1",60,"class C beta-lactamase PDC-300",397
110,"WP_109791186.1",60,"class C beta-lactamase PDC-300",397
111,"WP_109791185.1",60,"class C beta-lactamase PDC-300",397
112,"WP_109791184.1",914,"class A beta-lactamase TEM-219",286
113,"WP_109545116.1",153,"OXA-184 family class D beta-lactamase OXA-620",257
114,"WP_109545115.1",153,"OXA-184 family class D beta-lactamase OXA-620",257
115,"WP_109545114.1",153,"OXA-184 family class D beta-lactamase OXA-620",257
116,"WP_109545113.1",153,"OXA-184 family class D beta-lactamase OXA-620",257
117,"WP_109545112.1",153,"OXA-184 family class D beta-lactamase OXA-620",257
118,"WP_109545111.1",153,"OXA-184 family class D beta-lactamase OXA-620",250
119,"WP_109545110.1",153,"OXA-184 family class D beta-lactamase OXA-620",249
120,"WP_109545109.1",153,"OXA-184 family class D beta-lactamase OXA-620",249
121,"WP_109545108.1",136,"OXA-61 family class D beta-lactamase OXA-596",268
122,"WP_109545107.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
123,"WP_109545106.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
124,"WP_109545105.1",136,"OXA-61 family class D beta-lactamase OXA-596",253
125,"WP_109545104.1",136,"OXA-61 family class D beta-lactamase OXA-596",253
126,"WP_109545103.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
127,"WP_109545102.1",136,"OXA-61 family class D beta-lactamase OXA-596",252
128,"WP_109545101.1",136,"OXA-61 family class D beta-lactamase OXA-596",256
129,"WP_109545100.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
130,"WP_109545099.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
131,"WP_109545098.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
132,"WP_109545097.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
133,"WP_109545096.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
134,"WP_109545095.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
135,"WP_109545094.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
136,"WP_109545093.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
137,"WP_109545092.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
138,"WP_109545091.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
139,"WP_109545090.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
140,"WP_109545089.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
141,"WP_109545088.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
142,"WP_109545087.1",136,"OXA-61 family class D beta-lactamase OXA-596",257
143,"WP_109545086.1",2142,"OXA-184 family class D beta-lactamase OXA-629",248
144,"WP_109545085.1",2142,"OXA-184 family class D beta-lactamase OXA-629",248
145,"WP_109545084.1",2142,"OXA-184 family class D beta-lactamase OXA-629",248
146,"WP_109545083.1",2142,"OXA-184 family class D beta-lactamase OXA-629",248
147,"WP_109545082.1",2142,"OXA-184 family class D beta-lactamase OXA-629",248
148,"WP_109545081.1",2142,"OXA-184 family class D beta-lactamase OXA-629",248
149,"WP_109545080.1",2142,"OXA-184 family class D beta-lactamase OXA-629",248
150,"WP_109545079.1",2142,"OXA-184 family class D beta-lactamase OXA-629",248
151,"WP_109545078.1",1122,"OXA-184 family class D beta-lactamase OXA-448",249
152,"WP_109545077.1",1122,"OXA-184 family class D beta-lactamase OXA-448",249
153,"WP_109545076.1",153,"OXA-184 family class D beta-lactamase OXA-620",257
154,"WP_109545075.1",153,"OXA-184 family class D beta-lactamase OXA-620",257
155,"WP_109545074.1",155,"carbapenem-hydrolyzing class A beta-lactamase GPC-1",297
156,"WP_109545073.1",156,"carbapenem-hydrolyzing class A beta-lactamase FRI-5",296
157,"WP_109545072.1",157,"OXA-372 family carbapenem-hydrolyzing class D beta-lactamase OXA-641",257
158,"WP_109545071.1",1100,"OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-499",275
159,"WP_109545070.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",541
160,"WP_109545069.1",246,"class A extended-spectrum beta-lactamase CTX-M-191",291
161,"WP_109545068.1",1448,"class C beta-lactamase DHA-21",379
162,"WP_109545067.1",1448,"class C beta-lactamase DHA-21",379
163,"WP_109545066.1",1429,"cephalosporin-hydrolyzing class C beta-lactamase FOX-12",382
164,"WP_109545065.1",43,"class C beta-lactamase CMY-163",381
165,"WP_109545064.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
166,"WP_109545063.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",294
167,"WP_109545062.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
168,"WP_109545061.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
169,"WP_109545060.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
170,"WP_109545058.1",273,"phosphoethanolamine--lipid A transferase MCR-4.1",541
171,"WP_109545057.1",4088,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-5.1",546
172,"WP_109545056.1",391,"phosphoethanolamine--lipid A transferase MCR-1.8",541
173,"WP_109545055.1",273,"phosphoethanolamine--lipid A transferase MCR-4.1",541
174,"WP_109545054.1",273,"phosphoethanolamine--lipid A transferase MCR-4.1",541
175,"WP_109545053.1",15,"subclass B1 metallo-beta-lactamase IMP-76",246
176,"WP_109545051.1",177,"carbapenem-hydrolyzing class A beta-lactamase CRH-2",290
177,"WP_109545050.1",177,"carbapenem-hydrolyzing class A beta-lactamase CRH-2",290
178,"WP_109545049.1",434,"subclass B1 metallo-beta-lactamase NDM-18",270
179,"WP_109545048.1",179,"carbapenem-hydrolyzing class D beta-lactamase OXA-542",275
180,"WP_109545047.1",181,"quinolone resistance pentapeptide repeat protein QnrB81",214
181,"WP_109545046.1",181,"quinolone resistance pentapeptide repeat protein QnrB81",214
182,"WP_109545045.1",2449,"quinolone resistance pentapeptide repeat protein QnrD2",214
183,"WP_109545044.1",251,"carbapenem-hydrolyzing class A beta-lactamase KPC-33",301
184,"WP_109545042.1",184,"subclass B1 metallo-beta-lactamase ORR-1",255
185,"WP_109545041.1",3343,"MULTISPECIES: aminoglycoside O-phosphotransferase APH(3'')-Ib",275
186,"WP_109545039.1",186,"subclass B1 metallo-beta-lactamase STA-1",261
187,"WP_109545038.1",187,"tetracycline efflux MFS transporter Tet(33)",407
188,"WP_109545035.1",512,"quaternary ammonium compound efflux SMR transporter QacF",110
189,"WP_109545034.1",181,"quinolone resistance pentapeptide repeat protein QnrB81",214
190,"WP_109545033.1",190,"transpeptidase-like D-Ala-D-Ala carboxypeptidase VanY-D",355
191,"WP_109545031.1",3146,"MULTISPECIES: trimethoprim-resistant dihydrofolate reductase DfrA14",157
192,"WP_106924209.1",246,"class A extended-spectrum beta-lactamase CTX-M-191",291
193,"WP_106672612.1",43,"class C beta-lactamase CMY-163",381
194,"WP_104531869.1",195,"class C beta-lactamase LHK-5",390
195,"WP_104531868.1",195,"class C beta-lactamase LHK-5",390
196,"WP_104531867.1",195,"class C beta-lactamase LHK-5",390
197,"WP_104531866.1",195,"class C beta-lactamase LHK-5",390
198,"WP_104531865.1",195,"class C beta-lactamase LHK-5",389
199,"WP_104531863.1",3447,"class C beta-lactamase BUT-2",383
200,"WP_104009862.1",60,"class C beta-lactamase PDC-300",397
201,"WP_104009861.1",60,"class C beta-lactamase PDC-300",397
202,"WP_104009860.1",60,"class C beta-lactamase PDC-300",394
203,"WP_104009859.1",60,"class C beta-lactamase PDC-300",397
204,"WP_104009858.1",60,"class C beta-lactamase PDC-300",397
205,"WP_104009857.1",60,"class C beta-lactamase PDC-300",397
206,"WP_104009856.1",60,"class C beta-lactamase PDC-300",397
207,"WP_104009855.1",914,"class A beta-lactamase TEM-219",286
208,"WP_104009854.1",914,"class A beta-lactamase TEM-219",286
209,"WP_104009853.1",3009,"MULTISPECIES: carbapenem-hydrolyzing class D beta-lactamase OXA-214",275
210,"WP_104009852.1",1388,"subclass B1 metallo-beta-lactamase IMP-32",246
211,"WP_104009851.1",211,"phosphoethanolamine--lipid A transferase MCR-7.1",539
212,"WP_104009850.1",391,"phosphoethanolamine--lipid A transferase MCR-1.8",541
213,"WP_104009849.1",43,"class C beta-lactamase CMY-163",381
214,"WP_104009848.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
215,"WP_104009847.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
216,"WP_104009846.1",856,"MULTISPECIES: subclass B1 metallo-beta-lactamase VIM-6",266
217,"WP_104009844.1",60,"class C beta-lactamase PDC-300",397
218,"WP_104009843.1",60,"class C beta-lactamase PDC-300",397
219,"WP_104009842.1",60,"class C beta-lactamase PDC-300",397
220,"WP_104009841.1",60,"class C beta-lactamase PDC-300",389
221,"WP_104009840.1",60,"class C beta-lactamase PDC-300",404
222,"WP_104009839.1",60,"class C beta-lactamase PDC-300",397
223,"WP_104009838.1",60,"class C beta-lactamase PDC-300",397
224,"WP_104009837.1",60,"class C beta-lactamase PDC-300",397
225,"WP_104009836.1",60,"class C beta-lactamase PDC-300",397
226,"WP_104009835.1",60,"class C beta-lactamase PDC-300",397
227,"WP_104009834.1",60,"class C beta-lactamase PDC-300",393
228,"WP_104009833.1",60,"class C beta-lactamase PDC-300",397
229,"WP_104009832.1",60,"class C beta-lactamase PDC-300",397
230,"WP_104009831.1",279,"class A extended-spectrum beta-lactamase PER-12",308
231,"WP_103252528.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",540
232,"WP_103034696.1",232,"class A beta-lactamase ROB-5",305
233,"WP_102607465.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",541
234,"WP_102607464.1",234,"OXA-22 family class D beta-lactamase OXA-572",275
235,"WP_102607463.1",1087,"MULTISPECIES: carbapenem-hydrolyzing class D beta-lactamase OXA-60",271
236,"WP_102607462.1",236,"OXA-60 family carbapenem-hydrolyzing class D beta-lactamase OXA-570",271
237,"WP_102607461.1",709,"OXA-22 family class D beta-lactamase OXA-574",279
238,"WP_102607460.1",1411,"class A beta-lactamase GES-30",287
239,"WP_102607459.1",15,"subclass B1 metallo-beta-lactamase IMP-76",246
240,"WP_102607458.1",653,"class C beta-lactamase ADC-98",383
241,"WP_102607456.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
242,"WP_102607455.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
243,"WP_102607454.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
244,"WP_102607453.1",914,"class A beta-lactamase TEM-219",286
245,"WP_102607452.1",246,"class A extended-spectrum beta-lactamase CTX-M-191",291
246,"WP_102607451.1",246,"class A extended-spectrum beta-lactamase CTX-M-191",291
247,"WP_101244938.1",653,"class C beta-lactamase ADC-98",383
248,"WP_101244937.1",653,"class C beta-lactamase ADC-98",383
249,"WP_101244936.1",60,"class C beta-lactamase PDC-300",397
250,"WP_101244935.1",181,"quinolone resistance pentapeptide repeat protein QnrB81",214
251,"WP_101140102.1",251,"carbapenem-hydrolyzing class A beta-lactamase KPC-33",293
252,"WP_100931729.1",252,"tetracycline efflux MFS transporter Tet(57)",398
253,"WP_100931728.1",253,"tetracycline efflux MFS transporter Tcr3",512
254,"WP_100831609.1",60,"class C beta-lactamase PDC-300",397
255,"WP_100086555.1",255,"carbapenem-hydrolyzing class A beta-lactamase IMI-17",292
256,"WP_099982820.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",541
257,"WP_099982815.1",391,"phosphoethanolamine--lipid A transferase MCR-1.8",542
258,"WP_099982814.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",540
259,"WP_099982813.1",259,"phosphoethanolamine--lipid A transferase MCR-6.1",538
260,"WP_099982812.1",60,"class C beta-lactamase PDC-300",389
261,"WP_099982800.1",391,"phosphoethanolamine--lipid A transferase MCR-1.8",541
262,"WP_099337823.1",262,"class D beta-lactamase OXA-568",276
263,"WP_099156057.1",2145,"MULTISPECIES: cephalosporin-hydrolyzing class C beta-lactamase MIR-5",381
264,"WP_099156056.1",264,"cephalosporin-hydrolyzing class C beta-lactamase ACT-54",381
265,"WP_099156055.1",4165,"MULTISPECIES: cephalosporin-hydrolyzing class C beta-lactamase ACC-1",390
266,"WP_099156054.1",280,"class A beta-lactamase SHV-200",286
267,"WP_099156053.1",1512,"class A extended-spectrum beta-lactamase CTX-M-152",291
268,"WP_099156052.1",301,"OXA-48 family class D beta-lactamase OXA-519",264
269,"WP_099156050.1",434,"subclass B1 metallo-beta-lactamase NDM-18",270
270,"WP_099156049.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",541
271,"WP_099156048.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",540
272,"WP_099156047.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",541
273,"WP_099156046.1",273,"phosphoethanolamine--lipid A transferase MCR-4.1",541
274,"WP_099156045.1",653,"class C beta-lactamase ADC-98",383
275,"WP_099156044.1",1221,"OXA-10 family class D beta-lactamase OXA-251",266
276,"WP_099156042.1",276,"class C beta-lactamase AQU-1",380
277,"WP_099156041.1",914,"class A beta-lactamase TEM-219",286
278,"WP_099156040.1",2550,"D-lactate dehydrogenase VanH-B",323
279,"WP_096865225.1",279,"class A extended-spectrum beta-lactamase PER-12",308
280,"WP_096807447.1",280,"class A beta-lactamase SHV-200",286
281,"WP_096807443.1",3760,"subclass B1 metallo-beta-lactamase IMP-21",245
282,"WP_096807442.1",391,"phosphoethanolamine--lipid A transferase MCR-1.8",541
283,"WP_096807440.1",283,"class D beta-lactamase OXA-427",264
284,"WP_096807439.1",251,"carbapenem-hydrolyzing class A beta-lactamase KPC-33",296
285,"WP_096170112.1",756,"quinolone resistance pentapeptide repeat protein QnrS13",218
286,"WP_094963248.1",2618,"MULTISPECIES: ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA31",262
287,"WP_094935119.1",2145,"MULTISPECIES: cephalosporin-hydrolyzing class C beta-lactamase MIR-5",381
288,"WP_094321595.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",541
289,"WP_094315354.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",541
290,"WP_094313523.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",541
291,"WP_094312656.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",541
292,"WP_094308975.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",541
293,"WP_094009816.1",255,"carbapenem-hydrolyzing class A beta-lactamase IMI-17",292
294,"WP_094009815.1",280,"class A beta-lactamase SHV-200",286
295,"WP_094009814.1",246,"class A extended-spectrum beta-lactamase CTX-M-191",291
296,"WP_094009813.1",2362,"MULTISPECIES: class A extended-spectrum beta-lactamase CTX-M-115",291
297,"WP_094009812.1",297,"class A extended-spectrum beta-lactamase VEB-19",299
298,"WP_094009811.1",301,"OXA-48 family class D beta-lactamase OXA-519",265
299,"WP_094009810.1",434,"subclass B1 metallo-beta-lactamase NDM-18",270
300,"WP_094009809.1",255,"carbapenem-hydrolyzing class A beta-lactamase IMI-17",292
301,"WP_094009808.1",301,"OXA-48 family class D beta-lactamase OXA-519",265
302,"WP_094009807.1",2090,"subclass B1 metallo-beta-lactamase VIM-29",266
303,"WP_094009806.1",60,"class C beta-lactamase PDC-300",397
304,"WP_094009805.1",15,"subclass B1 metallo-beta-lactamase IMP-76",246
305,"WP_094009804.1",301,"OXA-48 family class D beta-lactamase OXA-519",265
306,"WP_094009803.1",301,"OXA-48 family class D beta-lactamase OXA-519",265
307,"WP_094009802.1",43,"class C beta-lactamase CMY-163",381
308,"WP_089613755.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",541
309,"WP_089067012.1",301,"OXA-48 family class D beta-lactamase OXA-519",265
310,"WP_088303859.1",153,"OXA-184 family class D beta-lactamase OXA-620",257
311,"WP_088245227.1",653,"class C beta-lactamase ADC-98",383
312,"WP_088245226.1",280,"class A beta-lactamase SHV-200",286
313,"WP_088245225.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
314,"WP_088245224.1",60,"class C beta-lactamase PDC-300",397
315,"WP_088245223.1",60,"class C beta-lactamase PDC-300",397
316,"WP_088245222.1",60,"class C beta-lactamase PDC-300",397
317,"WP_088245221.1",60,"class C beta-lactamase PDC-300",397
318,"WP_088245220.1",60,"class C beta-lactamase PDC-300",397
319,"WP_088245219.1",60,"class C beta-lactamase PDC-300",397
320,"WP_088245218.1",60,"class C beta-lactamase PDC-300",397
321,"WP_088245217.1",60,"class C beta-lactamase PDC-300",397
322,"WP_088245216.1",60,"class C beta-lactamase PDC-300",397
323,"WP_088245215.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
324,"WP_088245214.1",324,"subclass B1 metallo-beta-lactamase IMP-67",246
325,"WP_088245213.1",43,"class C beta-lactamase CMY-163",381
326,"WP_088245212.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
327,"WP_088245211.1",9,"class A extended-spectrum beta-lactamase CTX-M-222",291
328,"WP_088245210.1",330,"carbapenem-hydrolyzing class A beta-lactamase FRI-2",294
329,"WP_088245209.1",329,"23S rRNA (guanine(2470)) methyltransferase EmtA",341
330,"WP_087907639.1",330,"carbapenem-hydrolyzing class A beta-lactamase FRI-2",294
331,"WP_087879616.1",72,"MULTISPECIES: phosphoethanolamine--lipid A transferase MCR-3.18",541
332,"WP_087696200.1",332,"class D beta-lactamase OXA-576",248
333,"WP_087587974.1",60,"class C beta-lactamase PDC-300",397
334,"WP_087587973.1",60,"class C beta-lactamase PDC-300",397
335,"WP_087587972.1",60,"class C beta-lactamase PDC-300",397
336,"WP_087587971.1",60,"class C beta-lactamase PDC-300",397
337,"WP_087587970.1",60,"class C beta-lactamase PDC-300",397
338,"WP_087587969.1",60,"class C beta-lactamase PDC-300",397
339,"WP_087587968.1",60,"class C beta-lactamase PDC-300",397
340,"WP_087587967.1",60,"class C beta-lactamase PDC-300",397
341,"WP_087587966.1",60,"class C beta-lactamase PDC-300",397
342,"WP_087587965.1",60,"class C beta-lactamase PDC-300",395
343,"WP_087587964.1",60,"class C beta-lactamase PDC-300",397
344,"WP_087587963.1",60,"class C beta-lactamase PDC-300",397
345,"WP_087587962.1",60,"class C beta-lactamase PDC-300",397
346,"WP_087587961.1",60,"class C beta-lactamase PDC-300",397
347,"WP_087587960.1",60,"class C beta-lactamase PDC-300",397
348,"WP_087587959.1",60,"class C beta-lactamase PDC-300",397
349,"WP_087587958.1",60,"class C beta-lactamase PDC-300",397
350,"WP_087587957.1",60,"class C beta-lactamase PDC-300",397
351,"WP_087587956.1",60,"class C beta-lactamase PDC-300",395
352,"WP_087587955.1",60,"class C beta-lactamase PDC-300",397
353,"WP_087587954.1",60,"class C beta-lactamase PDC-300",397
354,"WP_087587953.1",60,"class C beta-lactamase PDC-300",397
355,"WP_087587952.1",60,"class C beta-lactamase PDC-300",397
356,"WP_087587951.1",60,"class C beta-lactamase PDC-300",397
357,"WP_087587950.1",60,"class C beta-lactamase PDC-300",397
358,"WP_087587949.1",43,"class C beta-lactamase CMY-163",381
359,"WP_087587948.1",359,"MULTISPECIES: 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(48)",243
360,"WP_087587947.1",2506,"MULTISPECIES: class A extended-spectrum beta-lactamase CTX-M-64",291
361,"WP_087587946.1",361,"PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecD",678
362,"WP_087587945.1",301,"OXA-48 family class D beta-lactamase OXA-519",265
